Address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1 TRIMONT LN UNIT 502P PITTSBURGH PA 15211",40.438229,-80.020187,1,rooftop,1,"Trimont Ln",Apt,502P,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"1 TRIMONT LN UNIT 1030B PITTSBURGH PA 15211",40.438229,-80.020187,1,rooftop,1,"Trimont Ln",Apt,1030B,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"1 TRIMONT LN UNIT 430B PITTSBURGH PA 15211",40.438229,-80.020187,1,rooftop,1,"Trimont Ln",Apt,430B,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"1 TRIMONT LN UNIT 820B PITTSBURGH PA 15211",40.438229,-80.020187,1,rooftop,1,"Trimont Ln",Apt,820B,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"151 FORT PITT BLVD UNIT 804 PITTSBURGH PA 15222",40.43847,-80.004674,1,rooftop,151,"Ft Pitt Blvd",Unit,804,Pittsburgh,PA,"Allegheny County",15222,US,Allegheny
"151 FORT PITT BLVD UNIT 1102 PITTSBURGH PA 15222",40.43847,-80.004674,1,rooftop,151,"Ft Pitt Blvd",Unit,1102,Pittsburgh,PA,"Allegheny County",15222,US,Allegheny
"45 CRAIGHEAD ST PITTSBURGH PA 15211",40.42433,-79.998317,1,rooftop,45,"Craighead St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"300 4TH AVE UNIT 803 PITTSBURGH PA 15222",40.439149,-80.001173,1,rooftop,300,"4th Ave",Unit,803,Pittsburgh,PA,"Allegheny County",15222,US,Allegheny
"305 KRAMER WAY PITTSBURGH PA 15211",40.424636,-80.007336,1,rooftop,305,"Kramer Way",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"414 SWEETBRIAR ST PITTSBURGH PA 15211",40.435454,-80.022532,1,rooftop,414,"Sweetbriar St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"812 GRANDVIEW AVE PITTSBURGH PA 15211",40.436345,-80.014822,1,rooftop,812,"Grandview Ave",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"300 4TH AVE UNIT 1602 PITTSBURGH PA 15222",40.439149,-80.001173,1,rooftop,300,"4th Ave",Unit,1602,Pittsburgh,PA,"Allegheny County",15222,US,Allegheny
"48 HARWOOD ST PITTSBURGH PA 15211",40.424951,-80.004163,1,rooftop,48,"Harwood St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"428 KATHLEEN ST PITTSBURGH PA 15211",40.425515,-79.999734,1,rooftop,428,"Kathleen St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"171 S 15TH ST UNIT 301 PITTSBURGH PA 15203",40.425666,-79.983378,1,rooftop,171,"S 15th St",Apt,301,Pittsburgh,PA,"Allegheny County",15203,US,Allegheny
"432 RUXTON ST PITTSBURGH PA 15211",40.424845,-79.999493,1,rooftop,432,"Ruxton St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"600 PRESSLEY ST PITTSBURGH PA 15212",40.452219,-79.99868,1,rooftop,600,"Pressley St",,,Pittsburgh,PA,"Allegheny County",15212,US,Allegheny
"168 MERRIMAC ST PITTSBURGH PA 15211",40.433415,-80.013539,1,rooftop,168,"Merrimac St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"116 ULYSSES ST PITTSBURGH PA 15211",40.434307,-80.012274,1,rooftop,116,"Ulysses St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"1323 VIRGINIA AVE PITTSBURGH PA 15211",40.432705,-80.021794,1,rooftop,1323,"Virginia Ave",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"808 LIBERTY AVE PITTSBURGH PA 15222",40.442524,-79.998755,1,rooftop,808,"Liberty Ave",,,Pittsburgh,PA,"Allegheny County",15222,US,Allegheny
"506 ARTHUR ST PITTSBURGH PA 15219",40.442229,-79.983885,1,rooftop,506,"Arthur St",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"335 MILLER ST PITTSBURGH PA 15219",40.440698,-79.983417,1,rooftop,335,"Miller St",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"218 KEARSARGE ST PITTSBURGH PA 15211",40.431795,-80.01064,1,rooftop,218,"Kearsarge St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"525 WILLIAM PENN PL PITTSBURGH PA 15219",40.440202,-79.99774,1,rooftop,525,"William Penn Pl",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"112 WASHINGTON PL UNIT 8-B PITTSBURGH PA 15219",40.439788,-79.992197,1,rooftop,112,"Washington Pl",Apt,8J,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"213 GRANDVIEW AVE PITTSBURGH PA 15211",40.432381,-80.00857,1,rooftop,213,"Grandview Ave",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"121 GRANDVIEW AVE UNIT 12 PITTSBURGH PA 15211",40.431635,-80.007754,1,rooftop,121,"Grandview Ave",Apt,12,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"500 HALLOCK ST PITTSBURGH PA 15211",40.43064,-80.019621,1,rooftop,500,"Hallock St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"112 WASHINGTON PL PITTSBURGH PA 15219",40.439788,-79.992197,1,rooftop,112,"Washington Pl",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"330 BELONDA ST PITTSBURGH PA 15211",40.429483,-80.01211,1,rooftop,330,"Belonda St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"433 GRACE ST PITTSBURGH PA 15211",40.429002,-80.013548,1,rooftop,433,"Grace St",,,"Mount Washington",PA,"Allegheny County",15211,US,Allegheny
"1334 5TH AVE PITTSBURGH PA 15219",40.438444,-79.986976,1,rooftop,1334,"5th Ave",,,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"331 KEARSARGE ST PITTSBURGH PA 15211",40.429949,-80.010836,1,rooftop,331,"Kearsarge St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
"216 REPUBLIC ST PITTSBURGH PA 15211",40.44016,-80.025617,1,rooftop,216,"Republic St",,,Pittsburgh,PA,"Allegheny County",15211,US,Allegheny
